,,,,,,,,,,,,,,,,RE Task & Application Domain,,,,,,,,GenAI Model & Configuration,,,LLM Application Strategy & Prompt Engineering,,,,,Outputs & Resources,,,,Evaluation,,,Study Quality,,,,,Challenges & Future Directions,,,,,,,,,,,
47,Evaluating the Capabilities of LLMs in Traceability Maintenance for Automotive System and Software Requirements,Hippargi V.; Kamsties E.; Naumann J.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006634399&partnerID=40&md5=624bd0dfaabdecd50531b401ed0d63ca,Conference paper,evaluating the capabilities of llms in traceability maintenance for automotive system and software requirements,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,1,,1,Automotive (firmware for Ultrasonic Park Assist IC),"Trace link quality assessment, trace link prediction, anomaly detection, inconsistency detection between requirements and test cases",ChatGPT-4o,No,No,Standalone,"zero-shot, prompt-based, iterative refinement",zero-shot,Instruction + Descriptive,yes,no,no,"CaseStudyonChatGPTforRE (proprietary, anonymized, available on GitHub)",yes,"Precision, Recall, F1-score, Expert ranking, Survey (qualitative)","Controlled experiment, expert study, survey","functional_suitability, usability",1,1,1,1,4,0,0,0,0,0,0,0,1,0,0,"concept/prototype, discussed potential, barriers highlighted","Small, low-complexity dataset; tool-specific results; prompt engineering limitations; human expert variability"
48,Trust at Your Own Peril: A Mixed Methods Exploration of the Ability of Large Language Models to Generate Expert-Like Systems Engineering Artifacts and a Characterization of Failure Modes,Topcu T.G.; Husain M.; Ofsa M.; Wach P.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218709286&doi=10.1002%2fsys.21810&partnerID=40&md5=09aa13722c3c81935fdb6b66cbf43206,Article,trust at your own peril: a mixed methods exploration of the ability of large language models to generate expert-like systems engineering artifacts and a characterization of failure modes,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,1,1,,,"Systems engineering for defense (unmanned ground vehicle, military context)","Generation of expert-like systems engineering artifacts (e.g., Capability Description Document segments, requirements, KPPs, KSAs) using LLMs; comparison to human expert artifacts; identification of LLM failure modes","GPT-4, GPT-3.5 Turbo, Claude",No,No,Standalone,"Iterative prompt engineering, prompt specificity refinement","Zero-shot, iterative prompting","Instructional, descriptive, iterative",yes,no,no,Bulldog Unmanned Ground Vehicle (UGV) dataset,no,"MAUVE (semantic similarity metric), qualitative human expert analysis","Mixed-methods: quantitative NLP similarity analysis, qualitative expert coding and comparison","functional_suitability, usability",1,1,1,1,4,0,0,1,0,0,0,1,1,0,0,"concept/prototype, barriers highlighted",Limited to one benchmark dataset; LLMs not fine-tuned; non-determinism of LLMs not explored; qualitative coding not blinded; closed-source models only; dataset not public
49,Automatic instantiation of assurance cases from patterns using large language models,Odu O.; Belle A.B.; Wang S.; Kpodjedo S.; Lethbridge T.C.; Hemmati H.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216448475&doi=10.1016%2fj.jss.2025.112353&partnerID=40&md5=c5352c59fb30067a071b81cf70503df4,Article,automatic instantiation of assurance cases from patterns using large language models,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,1,1,,"General domain (applied to aviation, automotive, medical, and computing systems)","Automatic instantiation of assurance cases from formalized patterns using LLMs; focuses on non-functional requirements (e.g., safety, security, reliability) assurance case generation","GPT-4o, GPT-4 Turbo",No,No,Standalone,,,Instruction + Descriptive + Example (for one-shot),yes,SmartGSN,yes,"Custom dataset (6 assurance case patterns, 5 assurance cases, multi-domain)",yes,"Exact match, BLEU score, Semantic similarity (cosine), Human reasonability rating","Controlled experiment, manual expert assessment","functional_suitability, reliability, performance_efficiency, usability, security, maintainability, portability",1,1,1,1,4,0,0,0,0,0,0,1,1,0,0,"concept/prototype (SmartGSN tool, not in production)","Ambiguity in pattern cardinality, need for human expert refinement, dataset size and coverage, potential overlap with LLM training data"
50,Implementing Generative AI Into ERP Software,Sarferaz S.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003671586&doi=10.1109%2fACCESS.2025.3564133&partnerID=40&md5=edc8c0279369df94c184c91e21412046,Article,implementing generative ai into erp software,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,1,1,1,1,"Enterprise Resource Planning (ERP) software across multiple business domains (finance, HR, supply chain, etc.)","Content generation, question-answering, conversation agents, text summarization, translation, sentiment analysis, text classification, code generation, data augmentation, information extraction, personalization, creative applications","OpenAI GPT series (e.g., GPT-3, GPT-4) and other vendor LLMs (not specified by version)",no,No,"Hybrid (ERP system with AI Technology Platform, retrieval-augmented, prompt engineering, orchestration)",,,"Instruction + Descriptive (prompt templates with placeholders, instructions, and context)",yes,"SAP Generative AI Framework (Intelligent Scenario, Prompt Executor, Orchestration Service)",no,no,no,"Customer feedback (efficiency, cost reduction, time-to-market), Operational adoption (number of customers, daily usage)","Case study, real-world deployment, customer feedback","functional_suitability, reliability, performance_efficiency, usability, security, maintainability, portability",1,1,1,1,4,1,1,1,0,1,1,1,0,1,0,"production (SAP ERP product, 10,000+ customers)",No public datasets or open-source tools; interpretability and reproducibility not explicitly addressed.
51,Gensors: Authoring Personalized Visual Sensors with Multimodal Foundation Models and Reasoning,Liu M.X.; Petridis S.; Tsai V.; Fiannaca A.J.; Olwal A.; Terry M.; Cai C.J.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001920147&doi=10.1145%2f3708359.3712085&partnerID=40&md5=3cfd3f5106e3c1dec525465ee8a093ad,Conference paper,gensors: authoring personalized visual sensors with multimodal foundation models and reasoning,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,1,1,1,,General domain (personalized visual sensors for smart home and personal environments),"Authoring, debugging, and refining personalized visual sensor requirements using multimodal LLMs; criteria elicitation, criteria-based reasoning, sensor configuration, and stress-testing.",Gemini 1.5 Flash and Gemini 1.5 Pro,No,No,Hybrid,,,Instruction + Descriptive + Example-based,no,Gensors,no,no,no,"User self-reported control (Likert scale), Understanding of model capabilities (Likert scale), Ability to communicate requirements (Likert scale), Ability to test and probe sensor (Likert scale), Feature helpfulness (Likert scale)","User study (within-subjects, n=12, compared to baseline prompt-editor)","functional_suitability, reliability, performance_efficiency, usability, security, maintainability, portability",1,1,1,1,4,0,0,1,1,1,1,1,0,1,0,concept/prototype,"Small, tech-savvy participant sample; limited use cases; generalizability concerns; hallucinations and stochasticity of MLLMs; privacy risks with cloud-based models; limited on-device support."
52,Design Knowledge as Attention Emphasizer in Large Language Model-Based Sentiment Analysis,Han Y.; Moghaddam M.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001426237&doi=10.1115%2f1.4067212&partnerID=40&md5=a11f6ea961a2e843e910eec85ffa0be8,Article,design knowledge as attention emphasizer in large language model-based sentiment analysis,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,1,,,,"Product design, specifically athletic footwear (apparel and footwear e-commerce reviews)","Aspect, category, opinion, sentiment, and implicit indicator (ACOSI) extraction from user reviews for implicit knowledge completion",T5 (Text-to-Text Transfer Transformer),Yes,No,Standalone,fine-tuned transformer with design-knowledge-guided position encoding,"few-shot (custom dataset, annotated examples)",Instruction + special tokens for label types,no,DKG-T5,no,Shoes-ACOSI (annotated dataset for ACOSI task in product design),no,"ROUGE1, ROUGE2, ROUGEL, DKG-ROUGE (domain knowledge ROUGE), design-bag-of-words (DBW), Cohen鈥檚 Kappa (annotation agreement)","controlled experiment (model comparison, statistical testing)","functional_suitability, performance_efficiency",1,1,1,1,4,1,0,0,0,1,1,0,0,0,0,"concept/prototype, barriers highlighted","Transferability to other domains, scalability, subjectivity in implicit knowledge, lexicon dependency, label order in autoregressive models"
53,Choosing a Creativity Technique for Requirements Elicitation: an updated framework,Mich L.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006523553&partnerID=40&md5=1ef54b18005d392263309a8b0d3d4997,Conference paper,choosing a creativity technique for requirements elicitation: an updated framework,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,,,,,"General domain; focuses on requirements elicitation across various domains using creativity techniques, including GenAI/LLMs.","Selection and application of creativity techniques for requirements elicitation, considering the integration of LLM GenAI systems.",N/A,No,No,"Standalone (conceptual framework, not a specific tool)",N/A,N/A,N/A,No,No,No,No,No,,N/A,,1,0.5,0.5,1,3,0,1,0,1,0,0,1,0,0,1,"Barriers highlighted, conceptual framework only",No empirical evaluation; conceptual and preliminary; no tool or dataset provided.
54,Automated Identification and Representation of System Requirements Based on Large Language Models and Knowledge Graphs,Wang L.; Wang M.-C.; Zhang Y.-R.; Ma J.; Shao H.-Y.; Chang Z.-X.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002283101&doi=10.3390%2fapp15073502&partnerID=40&md5=be47df56f82c0f85c2b31b1a47723dba,Article,automated identification and representation of system requirements based on large language models and knowledge graphs,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,1,,1,metro/railway system engineering (Code for Design of Metro),Automated extraction and structured representation of system requirements from requirement documents using LLMs and knowledge graphs,GPT-4,No,No,hybrid,"retrieval-augmented, prompt engineering, template-based extraction, few-shot learning, post-processing validation",few-shot,Instruction + Descriptive + Example (few-shot),yes,no,no,Metro_Code_Chapters_18_to_22_Data (HuggingFace),yes,"accuracy (custom weighted, combining exact match and cosine similarity)","case study, comparative experiment with baselines (BERT, RoBERTa, GPT-3.5-turbo)","functional_suitability, reliability, performance_efficiency, usability, security, maintainability, portability",1,1,1,1,4,0,0,0,1,0,0,1,1,0,0,"prototype, concept, barriers highlighted",LLM struggles with hierarchical dependencies and entity disambiguation; hallucinations and format inconsistencies; not all node relationships are uniformly implemented; domain-specific fine-tuning and advanced prompt strategies suggested for future work
55,Enhancing Conversational Agent Development Through a Semi-Automatization Development Proposal,Martínez-Gárate Á.; Aguilar-Calderón J.A.; Tripp-Barba C.; Zaldívar-Colado A.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217572386&doi=10.3390%2fapp15031139&partnerID=40&md5=c792bafea1b3fa2c2c6b706f9b382ffd,Article,enhancing conversational agent development through a semi-automatization development proposal,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,1,1,,"Higher education (university postgraduate program information chatbot, WhatsApp deployment)","Semi-automated chatbot development for information query answering, fallback suggestion generation using LLM, WhatsApp integration",GPT-3 (text-curie-001),No,No,Hybrid,"Fallback to LLM for unhandled queries, prompt engineering, model-to-text code generation",Few-shot,Instruction + Example-based,yes,PCIBot (Xatkit enhancement),no,"User interaction logs, satisfaction survey (PCIBot)",yes,"User satisfaction rate, Feature usage statistics","Case study, user survey (n=100)","functional_suitability, reliability, performance_efficiency, usability, security, maintainability, portability",1,1,1,1,4,0,0,0,0,1,0,1,1,0,0,"concept/prototype, pilot project, barriers highlighted",Manual code intervention still required for advanced features; limited to WhatsApp via Twilio; no direct WhatsApp Business API integration
56,Refactoring goal-oriented models: a linguistic improvement using large language models,Alturayeif N.; Hassine J.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217364855&doi=10.1007%2fs10270-024-01254-1&partnerID=40&md5=d74294c74f929c3217579c7eb76bf2ee,Article,refactoring goal-oriented models: a linguistic improvement using large language models,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,1,,1,"Goal-oriented requirements engineering (GORE), general domain, with examples in electric vehicles, healthcare, university alumni, and AI-powered mental health systems","Detection and automated refactoring of linguistic bad smells in goal-oriented requirements models (GRL/TGRL), including tasks like identifying unclear/ambiguous goal statements, conflicting requirements, misspellings, and syntactic/semantic issues",GPT-3.5-turbo,No,No,Standalone,,,Instruction + Descriptive + Example-based,yes,TGRL Bad Smells Detection and Refactoring Tool,yes,"Four GRL/TGRL models (University Alumni, Healthcare, Electric Vehicle, AI-Powered Mental Health Companion)",yes,"precision, recall, F1-score, F2-score, human evaluation (Likert scale)","Case study, user study (questionnaire with 13 participants)","functional_suitability, reliability, performance_efficiency, usability, security, maintainability, portability",1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,"concept/prototype, barriers highlighted, future work includes industrial models","Limited to TGRL/GRL models, evaluation on four models, subjective refactoring for some bad smells, dependency on GPT, not all linguistic anomalies covered, external validity concerns"
57,Enhancing Agile Requirements Change Management: Integrating LLMs with Fuzzy Best-Worst Method for Decision Support,Aljohani B.; Aljuhani A.; Alsanoosy T.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001551303&doi=10.14569%2fIJACSA.2025.01603103&partnerID=40&md5=267ed1ffd4d06162c2474201db73157e,Article,enhancing agile requirements change management: integrating llms with fuzzy best-worst method for decision support,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,,1,1,Agile Requirements Change Management (ARCM) in Global Software Development (GSD),Prioritization of success factors for ARCM using LLM-driven Fuzzy Best-Worst Method (FBWM),GPT-4,No,No,hybrid,,,Instruction + Descriptive,yes,no,no,no,no,"Consistency Ratio (CR), Mean Absolute Error (MAE), Root Mean Squared Error (RMSE), Spearman鈥檚 Rank Correlation (蟻), Kendall鈥檚 Tau Correlation (蟿)",Controlled experiment (comparison of human and LLM expert rankings),"functional_suitability, reliability, performance_efficiency",1,1,1,1,4,1,0,0,1,1,0,0,0,0,0,concept/prototype,Scalability to larger datasets and resource constraints (computational tools) are mentioned as limitations.
58,DesignQA: A Multimodal Benchmark for Evaluating Large Language Models’ Understanding of Engineering Documentation,Doris A.C.; Grandi D.; Tomich R.; Alam M.F.; Ataei M.; Cheong H.; Ahmed F.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001121788&doi=10.1115%2f1.4067333&partnerID=40&md5=421264076326700d156e79c53252ac8e,Article,designqa: a multimodal benchmark for evaluating large language models’ understanding of engineering documentation,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,1,1,,"engineering design (Formula SAE automotive student competition, generalizable to technical engineering documentation)","Rule extraction, rule comprehension (component identification, presence), rule compliance (dimension and functional performance checking) from technical requirements and multimodal data","GPT-4o, GPT-4, Claude-Opus, Gemini-1.0, LLaVA-1.5",No,No,Standalone and retrieval-augmented generation (RAG),zero-shot,zero-shot,Instruction + Descriptive (detailed task-specific prompts for each subtask),yes,DesignQA,yes,DesignQA,yes,"F1-score (BoW, rules, characters), accuracy, BLEU, ROUGE, Sentence-BERT similarity",benchmarking (controlled experiment with multiple models and baselines),"functional_suitability, performance_efficiency, usability, reliability",1,1,1,1,4,0,0,0,1,1,0,1,1,0,0,"concept/prototype, open benchmark for future research",Limited to one rule document; generalizability to other documents not tested; some subsets small due to manual QA creation; automatic metrics may not always match human judgment.
59,Applying Large Language Model Analysis and Backend Web Services in Regulatory Technologies for Continuous Compliance Checks,Li J.; Maiti A.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001376735&doi=10.3390%2ffi17030100&partnerID=40&md5=4ca89a8da88c6f4a871ce30076e9740c,Article,applying large language model analysis and backend web services in regulatory technologies for continuous compliance checks,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,,1,1,"Agriculture (RegTech for compliance in primary industries, with case studies in cherry orchards and honeybee apiaries)","Continuous compliance checks, list extraction, numeric/milestone/binary analysis, rule identification, document and process checks, format checking","Ollama (Llama 3.2, Llama 3.1), Copilot, ChatGPT (GPT-4o), Gemini 2.0, Claude 3",No,No,Hybrid (LLM with backend web services/tool-calling),,,Instruction,yes,no,no,"Australian Cherry Guidelines, time series weather station data, honeybee compliance forms",no,"Extraction accuracy (位), Execution time (seconds), List order variation, Average item displacement",Controlled experiment (LLM performance on compliance tasks using real-world datasets and forms),"functional_suitability, reliability, performance_efficiency, usability, security, maintainability, portability",1,1,1,1,4,0,0,1,1,1,1,1,1,1,0,"concept/prototype, barriers highlighted","LLMs are inconsistent for complex analytical tasks, require backend web services for reliability, and have limited ability to explain outputs in human-friendly terms."
60,Locating requirements in backlog items: Content analysis and experiments with large language models,van Can A.T.; Dalpiaz F.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212435343&doi=10.1016%2fj.infsof.2024.107644&partnerID=40&md5=f9fba7b9ca0dfbf1bab2d50227466b10,Article,locating requirements in backlog items: content analysis and experiments with large language models,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,,,,"General domain (agile software development, issue tracking systems, user stories, backlogs)","Automated identification and classification of requirements in backlog items (user stories, tasks, etc.) in issue tracking systems","ChatGPT (GPT-4), Llama 3, Mistral 7B, BERT (base, cased), RoBERTa (base)",yes,No,Standalone,fine-tuning (encoder-only); in-context learning (decoder-only); prompt engineering (decoder-only),fine-tuning (encoder-only); zero-shot and few-shot/in-context (decoder-only),Instruction + Description + Template + Persona (for decoder-only); standard supervised input (for encoder-only),yes,no,no,"Annotated backlog items from 14 projects (7 OSS, 7 proprietary); open-source portion available via Zenodo (see Data Availability)",yes,"precision, recall, F1-score",controlled experiment (cross-validation on annotated dataset),"functional_suitability, performance_efficiency, usability, reliability",1,1,1,1,4,0,0,0,0,1,0,0,1,0,0,"concept/prototype (no tool, only experiments); barriers highlighted (need for fine-tuning, data labeling, model selection)",Limited to annotated data from 14 projects; proprietary data not shared; no hyperparameter tuning; decoder-only models not fine-tuned due to computational cost; only certain LLMs tested; generalizability to other domains not established.
61,An exploratory study on automatic identification of assumptions in the development of deep learning frameworks,Yang C.; Liang P.; Ma Z.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205432669&doi=10.1016%2fj.scico.2024.103218&partnerID=40&md5=ff029e8e971b9b82610fcedd2d0207a4,Article,an exploratory study on automatic identification of assumptions in the development of deep learning frameworks,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,,,1,"Deep learning framework development (TensorFlow, Keras)","Automatic identification of assumptions in GitHub issues, pull requests, and commits","ChatGPT (GPT-3.5, GPT-4), Claude 3.5 Sonnet, Gemini 1.0 pro, ALBERT",no,No,Standalone,,,Instruction + Descriptive (decoder-only models),yes,Assumption Miner,yes,AssuEval,yes,"accuracy, precision, recall, f1-score",case study,"functional_suitability, performance_efficiency, usability, reliability",1,1,1,1,4,0,0,0,0,1,0,1,1,0,1,concept/prototype,ALBERT input length limit; decoder-only models not fine-tuned; generalizability to other domains not tested
62,LLM-Based Automation of COSMIC Functional Size Measurement From Use Cases,De Vito G.; Di Martino S.; Ferrucci F.; Gravino C.; Palomba F.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001517411&doi=10.1109%2fTSE.2025.3554562&partnerID=40&md5=0173cd5a801ea0f0860cc7b6a67e1283,Article,llm-based automation of cosmic functional size measurement from use cases,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,,1,,,Management Info Systems,COSMIC functional size measurement from natural language use case specifications,GPT-4,No,Temperature: optimal = 0,Standalone,Prompt engineering with handcrafted examples,Few-shot,Instruction + Description + Examples,yes,CosMet,yes,"Albergate (MIS)
FIDCPM, FID-MTC, FID-TCT (Telemedicine)
U-CURE (ML App)
Rise Cooker, Auto Line Switching (Real-time COSMIC use cases)",yes,"1-Rouge, BLEU, BERTScore,MAE, MdAE,Human evaluation ","Controlled experiments, Expert-based evaluation","functional_suitability, performance_efficiency, usability, reliability",1,1,1,1,4,0,0,0,1,0,0,0,1,1,1,Pilot phase,Struggles with subtle semantic or implicit domain knowledge
63,Improving Software Development Traceability with Structured Prompting,Kim D.-K.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218677264&doi=10.1080%2f08874417.2025.2470919&partnerID=40&md5=1f1e326b61097d93ea9ad36695105c7f,Article,improving software development traceability with structured prompting,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,1,,,General domain (smart home system as case study; applicable to software development broadly),"Improving traceability of software artifacts across requirements analysis, design modeling, implementation, and testing using structured prompting with LLMs","Meta Llama 3, Gemini (Google), GitHub Copilot, Claude 3.5 Sonnet, ChatGPT-4o",No,No,Standalone,Structured prompt engineering (based on social science principles),Zero-shot,"Instruction + Descriptive (structured prompt with context, input data, task, expected outcome)",yes,no,no,no,no,"Validity, Completeness, Consistency, Traceability Metric for Activity (TMA), Traceability Metric for Phase (TMP), Traceability Metric for Process (TMPR)",Case study (smart home system across 5 LLMs),"functional_suitability, usability",1,1,1,1,4,0,0,0,0,0,0,0,1,1,0,"concept/prototype (case study only, not in production)",Limited to a single case study (smart home system); challenges in controlling LLM adherence to prompt instructions; over-specification due to LLM domain knowledge
64,Evaluating GPT for use in K-12 Block Based CS Instruction Using a Transpiler and Prompt Engineering,Gonzalez-Maldonado D.; Liu J.; Franklin D.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000208259&doi=10.1145%2f3641554.3701910&partnerID=40&md5=e0f8c66ad0c27466cc238a2649954727,Conference paper,evaluating gpt for use in k-12 block based cs instruction using a transpiler and prompt engineering,New,FALSE,FALSE,Analyze now,Jati,,Yes,F,,1,1,1,,"K-12 computer science education, block-based programming (Scratch)",(1) Generating sample solutions for Scratch assignments; (2) Natural language autograding of student Scratch projects,"GPT (version not explicitly stated, but context suggests GPT-3.5 or GPT-4)",No,No,"standalone (prompt-based interaction with LLM, using transpiled code)","prompt engineering, transpiler (Scratch↔Python, Scratch↔S-Expressions), multi-turn dialogue simulation",zero-shot,"Instruction + Descriptive (premise, sample, then task)",Yes,no,No,Scratch Encore student projects (2018-19),No,"syntax correctness (compilation), requirement score (task completion), extension score, correlation (Pearson's r) with official autograder, false positive/negative error analysis",controlled experiment (LLM-generated solutions and grading compared to ground truth),"functional suitability, performance efficiency, usability",1,1,1,1,4,0,1,1,0,1,0,1,0,0,0,"concept/prototype, barriers highlighted",Prompt-only approach is insufficient for reliable results; fine-tuning and multimodal models suggested as future work; dataset availability and privacy are challenges.
65,Task Decomposition and Self-Evaluation Mechanisms for Home Healthcare Robots Using Large Language Models,Liu L.; Zhang S.; Jiang Y.; Guo J.; Zhao W.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003231100&doi=10.1109%2fACCESS.2025.3559076&partnerID=40&md5=19d22edb3770ba4ca1744a77b706e850,Article,task decomposition and self-evaluation mechanisms for home healthcare robots using large language models,New,FALSE,FALSE,Analyze now,Jati,,Yes,F,,1,1,1,,Home healthcare robotics (elderly care),"Task decomposition, code generation, and self-evaluation for robot control in home healthcare tasks (e.g., grab cup, deliver medicine, clean table)",LLaMA3 8B (fine-tuned),Yes,No,standalone (robot control system),"self-evaluation module, task decomposition, prompt engineering, LoRA fine-tuning","few-shot, chain-of-thought",Instruction + Descriptive + Iterative (multi-layered prompt structure),Yes,Elderly Care GPT,No,"Home healthcare robot task dataset (2,000 real-world entries, constructed for this study)",No,"Task success rate, Accuracy, Response time, Comparative analysis with other models","Controlled experiment (real-world robot tasks, repeated trials, expert scoring)","Functional suitability, Reliability, Performance efficiency, Usability",1,1,1,1,4,0,0,0,0,0,1,1,0,1,0,"concept/prototype (real robot experiments, not in production)","Tested in controlled environments; adaptability to unstructured, real-world home settings remains for future work."
66,Leveraging machines to derive domain models from user stories,Bragilovski M.; van Can A.T.; Dalpiaz F.; Sturm A.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003180477&doi=10.1007%2fs00766-025-00442-9&partnerID=40&md5=f1b7b6cc2c57c7f14380ec64263ed022,Article,leveraging machines to derive domain models from user stories,New,FALSE,FALSE,Analyze now,Jati,,Yes,F,,1,1,,,"General software development (user stories from various domains, e.g., School, Supermarket, Ticket, etc.)",Derivation of domain models (classes and associations) from user stories,"ChatGPT 4.0 (GPT-4), Mistral",No,No,standalone,"prompt engineering with structured, persona-based, and stepwise prompts; multiple prompt strategies (single prompt, iterative prompts in one session, iterative prompts in separate sessions)","zero-shot, iterative","Instruction + Descriptive, Iterative",Yes,no,No,"Benchmark dataset of user stories and domain models (nine projects, e.g., School, Supermarket, Ticket, etc.)",Yes,"F0.5-score, F1-score, F2-score, precision, recall","controlled experiment, comparative evaluation with human experts and novices","functional suitability, usability",1,1,1,1,4,0,0,0,1,0,0,1,1,0,0,"concept/prototype, discussed potential, barriers highlighted",LLMs struggle with distinguishing classes vs. attributes and implementation constructs; performance varies by domain familiarity; human oversight needed for correctness.
67,Language Models to Support Multi-Label Classification of Industrial Data,Abdeen W.; Unterkalmsteiner M.; Wnuk K.; Ferrari A.; Chatzipetrou P.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007293644&doi=10.1109%2fSANER64311.2025.00013&partnerID=40&md5=bb3100c22e6ba6fab85db92793802009,Conference paper,language models to support multi-label classification of industrial data,New,FALSE,FALSE,Analyze now,Jati,,Yes,F,,1,,,,"industrial requirements engineering (transportation software domain, generalizable to other domains)",multi-label requirements classification using hierarchical taxonomies for traceability and automation,"T5-xl, T5-large, T5-base, MiniLM, DistillRoBERTa, MPNet, Multi-MPNet, RoBERTa-base, RoBERTa-large, Llama2-7B, Llama2-13B, Llama2-70B, Mistral-7B, Mixtral-8x7B",No,No,standalone (zero-shot classifier using embeddings from LMs/LLMs),cosine similarity between requirement and class embeddings; hierarchical strategy for taxonomy; context aggregation; top-k label selection,zero-shot,"N/A (embedding-based, not prompt-based)",No,zero-shot requirements classifier (no specific name),Yes,"industrial requirements dataset (22000 total, 377 annotated for study); taxonomies: SB11 and CoClass",Yes,"precision, recall, F1-score, Fβ (F189), novel label distance metric (Dn)","controlled experiment (systematic comparison across 14 models, 6 output spaces)","functional suitability, performance efficiency, usability",1,1,1,1,4,0,0,0,0,1,0,0,1,0,0,concept/prototype; potential for semi-automation in industry discussed,external validity (single domain dataset); subjective analysis in scatter plots; resource limitations for largest models
68,Automatic Analysis of App Reviews Using LLMs,Gunathilaka S.; de Silva N.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001692633&doi=10.5220%2f0013375600003890&partnerID=40&md5=cd54669e0220f69e2d298771177eaffb,Conference paper,automatic analysis of app reviews using llms,New,FALSE,FALSE,Analyze now,Jati,,Yes,F,,1,,,,Mobile app review analysis for software evolution and requirements engineering,"Classification of app reviews into bug reports, feature requests, user experiences, and ratings","GPT-3.5, Gemini Pro 1.0, Llama-2-7b-chat-hf, Mistral-7B-Instruct",Yes,No,Standalone,"zero-shot, instruction fine-tuning, explain-then-annotate, parameter-efficient fine-tuning (PEFT), QLoRA","zero-shot, few-shot (for fine-tuning)","Instruction, Instruction + Explanation (explain-then-annotate)",Yes,no,no,"Maalej and Nabil (2015) subset, 10,000 GPT-3.5-annotated app reviews",yes,"precision, recall, F1-score, Cohen's kappa, manual human evaluation","controlled experiment, manual annotation review","functional_suitability, usability, performance_efficiency",1,1,1,1,4,1,1,1,0,1,0,0,1,0,0,"concept/prototype, open-source code and dataset released","Limited to English, U.S. app reviews, only 7B parameter models, small benchmark, temporal model variation, energy/environmental cost, potential for misuse"
