ID,Authors,Title,Abstract,Year,Source title,Link,Haowei,Category: [LLM/GPT/BERT in RE]  [Review/Unrelated/Unclear],Jati,Category: [LLM/GPT/BERT in RE]  [Review/Unrelated/Unclear],Inclusion:[YES|NO],Haowei,Type of paper,Aspects of requirements,Type of RE activities,Modeling type,Model Type,Training Data,Fine-tuning,Prompt Engineering,Metrics,Role of LLM / GPT*,Challenge,Jati,Type of paper,Type of requirements,Type of RE activities,Modeling type,Application domain,Review Status,Final reviewer,Inclusion:[YES|NO],Type of paper,Type of requirements,Type of RE activities,Modeling type,Application domain
21,Fan A.; Gokkaya B.; Harman M.; Lyubarskiy M.; Sengupta S.; Yoo S.; Zhang J.M.,Large Language Models for Software Engineering: Survey and Open Problems,"This paper provides a survey of the emerging area of Large Language Models (LLMs) for Software Engineering (SE). It also sets out open research challenges for 
 the application of LLMs to technical problems faced by software engineers. LLMs' emergent properties bring novelty and creativity with applications right across the spectrum of Software Engineering activities including coding, design, requirements, repair, refactoring, performance improvement, documentation and analytics. However, these very same emergent properties also pose significant technical challenges; we need techniques that can reliably weed out incorrect solutions, such as hallucinations. Our survey reveals the pivotal role that hybrid techniques (traditional SE plus LLMs) have to play in the development and deployment of reliable, efficient and effective LLM-based SE. © 2023 IEEE.",2023,"Proceedings - 2023 IEEE/ACM International Conference on Software Engineering: Future of Software Engineering, ICSE-FoSE 2023",https://arxiv.org/abs/2310.03533,Haowei,LLMinRE,,LLM in SE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Wei J.; Courbis A.-L.; Lambolais T.; Xu B.; Bernard P.L.; Dray G.,Zero-shot Bilingual App Reviews Mining with Large Language Models,"App reviews from app stores are crucial for improving software requirements. A large number of valuable reviews are continually being posted, describing software 
 problems and expected features. Effectively utilizing user reviews necessitates the extraction of relevant information, as well as their subsequent summarization. Due to the substantial volume of user reviews, manual analysis is arduous. Various approaches based on natural language processing (NLP) have been proposed for automatic user review mining. However, the majority of them requires a manually crafted dataset to train their models, which limits their usage in real-world scenarios. In this work, we propose Mini-BAR, a tool that integrates large language models (LLMs) to perform zero-shot mining of user reviews in both English and French. Specifically, Mini-BAR is designed to (i) classify the user reviews, (ii) cluster similar reviews together, (iii) generate an abstractive summary for each cluster and (iv) rank the user review clusters. To evaluate the performance of Mini-BAR, we created a dataset containing 6,000 English and 6,000 French annotated user reviews and conducted extensive experiments. Preliminary results demonstrate the effectiveness and efficiency of Mini-BAR in requirement engineering by analyzing bilingual app reviews. © 2023 IEEE.",2023,"Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI",https://arxiv.org/abs/2311.03058,Haowei,Unrelated,,LLM in RE (If we consider review analysis part of requirements gathering),NO,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Virvou M.; Tsihrintzis G.A.,Pre-made Empowering Artificial Intelligence and ChatGPT: The Growing Importance of Human AI-Experts,"This paper investigates the augmented responsibility of human Artificial Intelligence experts in the era of empowered pre-made Artificial Intelligence (AI). The responsible and ethical use of pre-made AI is of paramount importance in this evolving technology. AI systems have the potential to impact numerous aspects of society, ranging from healthcare and finance to education and IoT. The decisions made by AI algorithms can have significant consequences for individuals, communities, and even entire industries. Using a comparison to the way widely available medicines require a prescription from medical doctors, human AI experts assume the role of evaluating, recommending, and overseeing the implementation of AI systems, even when pre-built AI solutions may seem user-friendly on the surface. The paper has explored the expanded responsibilities of human AI experts within two contemporary scenarios involving pre-made AI, encompassing LLMs and ChatGPT. These
  AI technologies are applied in two principal manners: initially, as standalone AI products readily accessible to a wide audience, and secondly, as elements undergoing exploration for integration into other AI-driven software and Intelligent Information Systems (IIS), with the goal of enhancing natural language processing (NLP) features within user interfaces. In all cases, the expertise of human AI professionals is indispensable, and their role is augmented. These professionals bear an increased responsibility for ensuring the responsible and ethical deployment of AI technologies, with a focus on human-centered design, bias mitigation, validation and accuracy estimation of the results, transparency promotion, and the necessary balance between automation and human oversight. This paper performs a review on pre-made AI and ChatGPT together with custom-based AI and shows that recent advance require an augmented role of human AI experts © 2023 IEEE.",2023,"14th International Conference on Information, Intelligence, Systems and Applications, IISA 2023",https://ieeexplore.ieee.org/document/10345880,Haowei,LLM survey,,Unrelated,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Nguyen-Duc A.; Arora C.; Abrahamsson P.,Preface of RESET 2023: 2nd International Workshop on Requirement Engineering for Software Startups and Emerging Technologies,"The Second International Workshop on Requirement Engineering for Software startups and Emerging Technologies (RESET) is a part of the 31st IEEE International 
 Requirements Engineering Conference 2023, held on 4 September 2023. The workshop brought together requirements engineering researchers and practitioners to discuss the need for adapting conventional requirement engineering artifacts (i.e., requirement definition, metrics), processes and practices in developing and operating emerging technologies, including Software Startups, Artificial Intelligence (AI), Blockchain, and Quantum Computing. Participants gained insights into the RE practices, tools, techniques, and frameworks that can help them build scalable, robust, and innovative software-intensive systems. The workshop included a keynote presentation and four paper presentations. © 2023 IEEE.",2023,"Proceedings - 31st IEEE International Requirements Engineering Conference Workshops, REW 2023",https://ieeexplore.ieee.org/document/10260766,Haowei,Survey,,Unrelated,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Jin Z.; Niu N.; Yu Y.,An RE'23 Workshop on Environment-Driven Requirements Engineering (EnviRE'23),"We organize a one-day workshop on Environment-Driven Requirements Engineering (EnviRE'23) in conjunction with the 31st IEEE International Requirements 
 Engineering Conference. With the rising influence of AI, IoT, and cyber-physical systems, we realize that the environment, in which the software operates, becomes more open and evolves rapidly with stakeholders' changing needs. EnviRE'23 features one keynote and seven accepted papers. In addition, we organize an interactive session with workshop participants to explore the role of large language models (LLMs), specifically ChatGPT, in requirements elicitation and modeling. Overall, the workshop is aimed at bringing the interested researchers and practitioners together, exchanging ideas and visions, and exploring a set of open problems to pursue in the years to come. Since the first edition of EnviRE in 2021, this is the first time that our workshop is held in person. We are excited to continue our workshop after the pandemic. © 2023 IEEE.",2023,"Proceedings - 31st IEEE International Requirements Engineering Conference Workshops, REW 2023",https://ieeexplore.ieee.org/document/10260948,Haowei,Survey,,Unrelated,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Chen B.; Chen K.; Hassani S.; Yang Y.; Amyot D.; Lessard L.; Mussbacher G.; Sabetzadeh M.; Varro D.,On the Use of GPT-4 for Creating Goal Models: An Exploratory Study,"The emergence of large language models and conversational front-ends such as ChatGPT is revolutionizing many software engineering activities. The extent to 
 which such technologies can help with requirements engineering activities, especially the ones surrounding modeling, however, remains to be seen. This paper reports on early experimental results on the potential use of GPT-4 in the latter context, with a focus on the development of goal-oriented models. We first explore GPT-4's current knowledge and mastering of a specific modeling language, namely the Goal-oriented Requirement Language (GRL). We then use four combinations of prompts - with and without a proposed textual syntax, and with and without contextual domain knowledge - to guide the creation of GRL models for two case studies. The first case study focuses on a well-documented topic in the goal modeling community (Kids Help Phone), whereas the second one explores a context for which, to our knowledge, no public goal models currently exist (Social Housing). We explore the interactive construction of a goal model through specific follow-up prompts aimed to fix model issues and expand on the model content. Our results suggest that GPT-4 preserves considerable knowledge on goal modeling, and although many elements generated by GPT-4 are generic, reflecting what is already in the prompt, or even incorrect, there is value in getting exposed to the generated concepts, many of which being non-obvious to stakeholders outside the domain. Furthermore, aggregating results from multiple runs yields a far better outcome than from any individual run. © 2023 IEEE.",2023,"Proceedings - 31st IEEE International Requirements Engineering Conference Workshops, REW 2023",https://ieeexplore.ieee.org/document/10260905,Haowei,GPTinRE,,GPTinRE,YES,,Workshop,"Functional Suitability（functional completeness ，functional appropriateness）
Interaction Capability（Learnability， Operability）",Analysis & Validation,No specific,ChatGPT-4,From：Public generic domain data,No,YES - Used few-shot,qualitative analysis,"The paper has a significant impact on the field of requirements engineering, particularly in goal modeling. 
It can improve the efficiency and accuracy of the requirements engineering process","The output of GPT-4 exhibits random variation, resulting in inconsistent results across different runs.
The generated models may be overly generic, lacking sufficient domain specificity, and thus may not effectively identify conflicts among stakeholders.",,,,,,,,,,,,,,
27,Bertram V.; Kausch H.; Kusmenko E.; Nqiri H.; Rumpe B.; Venhoff C.,Leveraging Natural Language Processing for a Consistency Checking Toolchain of Automotive Requirements,"In the automotive industry, specifications often consist of a large number of textual requirements. These requirements are linguistically ambiguous and written in
  informal language. Utilizing Structured English for requirements eliminates ambiguity, improves data quality, and supports further automated processing while maintaining readability. The recent development of large language models enables a fully automated translation approach using few-shot learning. To deal with the limited context size of large language models, an improved algorithm, OptKATE, is presented to find an ideal set of requirements for few-shot learning. Structured English can be used as a basis for further formalization. This capability is key in creating an interface between natural language processing and verification, in our case, consistency analysis using the Z3 SMT solver. We implemented a grammar for translating Structured English into TCTL using the MontiCore workbench. Furthermore, since SMT-based methods currently rely on manual precondition satisfaction and do not tackle conflicting preconditions automatically, we propose a scenario generation algorithm that generates potential scenarios using the specification and checks the requirements against them. Through this approach, we can better identify and resolve conflicting preconditions, ultimately improving the consistency of requirements. Our toolchain is evaluated using an automotive requirements dataset provided by former Daimler AG. © 2023 IEEE.",2023,Proceedings of the IEEE International Conference on Requirements Engineering,https://ieeexplore.ieee.org/document/10260788,Haowei,Not related （NLP4RE）,,Unrelated,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Cosler M.; Hahn C.; Mendoza D.; Schmitt F.; Trippel C.,nl2spec: Interactively Translating Unstructured Natural Language to Temporal Logics with Large Language Models,"A rigorous formalization of desired system requirements is indispensable when performing any verification task. This often limits the application of verification
  techniques, as writing formal specifications is an error-prone and time-consuming manual task. To facilitate this, we present nl2spec, a framework for applying Large Language Models (LLMs) to derive formal specifications (in temporal logics) from unstructured natural language. In particular, we introduce a new methodology to detect and resolve the inherent ambiguity of system requirements in natural language: we utilize LLMs to map subformulas of the formalization back to the corresponding natural language fragments of the input. Users iteratively add, delete, and edit these sub-translations to amend erroneous formalizations, which is easier than manually redrafting the entire formalization. The framework is agnostic to specific application domains and can be extended to similar specification languages and new neural models. We perform a user study to obtain a challenging dataset, which we use to run experiments on the quality of translations. We provide an open-source implementation, including a web-based frontend. © 2023, The Author(s).",2023,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://arxiv.org/abs/2303.04864,Haowei,LLMinRE,,LLMinRE,YES,,Arxiv,"Functional Suitability（functional completeness ，Functional Correctness）
Reliability（Fault Tolerance， Faultlessness）",Specification,No specific,Codex (a variant of GPT-3) and Bloom,"From：Public generic domain data
Codex：159GB code
Bloom：Training set 1.61TB text",No,YES - Used few-shot,accuracy," The paper has a significant impact on formal verification. LLMs can translate natural language into formal specifications, 
so that it can improve the efficiency and accuracy of the requirements specification process.","Ambiguity Resolution: The inherent ambiguity of natural language needs to be resolved through interactive methods.
Initial Translation Errors: Initial translations may contain errors that require human intervention to correct.",,,,,,,,,,,,,,
29,Mustroph H.; Barrientos M.; Winter K.; Rinderle-Ma S.,Verifying Resource Compliance Requirements from Natural Language Text over Event Logs,"Process compliance aims to ensure that processes adhere to requirements imposed by natural language texts such as regulatory documents. Existing approaches
  assume that requirements are available in a formalized manner using, e.g., linear temporal logic, leaving the question open of how to automatically extract and formalize them for verification. Especially with the constantly growing amount of regulatory documents and their frequent updates, it can be preferable to provide an approach that enables the verification of processes with requirements in natural language text instead of formalized requirements. To this end, this paper presents an approach that copes with the verification of resource compliance requirements, e.g., which resource shall perform which activity, in natural language over event logs. The approach relies on a comprehensive literature analysis to identify resource compliance patterns. It then contrasts these patterns with resource patterns reflecting the process perspective, while considering the natural language perspective. We combine the state-of-the-art GPT-4 technology for pre-processing the natural language text with a customized compliance verification component to identify and verify resource compliance requirements. Thereby, the approach distinguishes different resource patterns including multiple organizational perspectives. The approach is evaluated based on a set of well-established process descriptions and synthesized event logs generated by a process execution engine as well as the BPIC 2020 dataset. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",2023,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),"https://link.springer.com/chapter/10.1007/978-3-031-41620-0_15
（Page 249·）",Haowei,GPTinRE,,GPTinRE,YES,,Conference,Reliability（Faultlessness， Consistency）,verification,No,GPT-4,From： PET dataset,No,YES - Used few-shot,Precision， Recall,use the output of GPT w.r.t. compliance verification over event logs,"GPT-4 is a black box model, which makes ensuring reproducibility challenging due to its dependence on finely-tuned prompts",,,,,,,,,,,,,,
30,Bashir S.; Abbas M.; Saadatmand M.; Enoiu E.P.; Bohlin M.; Lindberg P.,"Requirement or Not, That is the Question: A Case from the Railway Industry","[Context and Motivation] Requirements in tender documents are often mixed with other supporting information. Identifying requirements in large tender 
 documents could aid the bidding process and help estimate the risk associated with the project. [Question/problem] Manual identification of requirements in large documents is a resource-intensive activity that is prone to human error and limits scalability. This study compares various state-of-the-art approaches for requirements identification in an industrial context. For generalizability, we also present an evaluation on a real-world public dataset. [Principal ideas/results] We formulate the requirement identification problem as a binary text classification problem. Various state-of-the-art classifiers based on traditional machine learning, deep learning, and few-shot learning are evaluated for requirements identification based on accuracy, precision, recall, and F1 score. Results from the evaluation show that the transformer-based BERT classifier performs the best, with an average F1 score of 0.82 and 0.87 on industrial and public datasets, respectively. Our results also confirm that few-shot classifiers can achieve comparable results with an average F1 score of 0.76 on significantly lower samples, i.e., only 20% of the data. [Contribution] There is little empirical evidence on the use of large language models and few-shots classifiers for requirements identification. This paper fills this gap by presenting an industrial empirical evaluation of the state-of-the-art approaches for requirements identification in large tender documents. We also provide a running tool and a replication package for further experimentation to support future research in this area. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",2023,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),"https://link.springer.com/chapter/10.1007/978-3-031-29786-1_8
（Page 105～）",Haowei,BERTinRE,,BERTinRE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Grasler I.; Preus D.; Brandt L.; Mohr M.,Efficient Extraction of Technical Requirements Applying Data Augmentation,"Requirements for complex technical systems are documented in natural language sources. Manually extracting requirements from these documents-e.g., to 
 transfer them to a requirements management tool-is time-consuming and error-prone. Today, machine learning approaches are used to classify natural language requirements and thus enable extraction of these requirements. However, in practice there is often not enough labeled domain-specific data available to train such models. For this reason, this work investigates the performance in artificially generating requirements through data augmentation. First, success criteria for a method for extracting and augmenting requirements are elicited in cooperation with industry experts. Second, the performance in the augmentation of requirements data is investigated. The results show that GPT-J is suitable for generating artificial requirements: weighted average F1-score: 62.74 %. Third, a method is developed to extract requirements from specifications, augment requirements data, and then classify the requirements. As a final step, the method is evaluated with requirements data from three industry case examples of the engineering service provider EDAG Engineering GmbH: Assembly latch hood, adjustable stopper hood and trunk curtain roller blind. Evaluation shows that especially the transferability of models is improved when they are trained with augmented data. The developed method facilitates eliciting complete requirements sets. Performance of artificial intelligence models in requirements extraction is improved applying augmented data and therefore the method leads to efficient product development. © 2022 IEEE.",2022,"ISSE 2022 - 2022 8th IEEE International Symposium on Systems Engineering, Conference Proceedings",https://ieeexplore.ieee.org/abstract/document/10005452,Haowei,GPTinRE,,GPTinRE,YES,,Conference,"Performance Efficiency（Time Behaviour， Resource Utilization）
Reliability（Fault Tolerance， Accuracy）","Elicitation, Specification",No,GPT-J,"From：Open source software development project
Size：793",No,YES  few-shot,F1-score,The developed method can be used to improve the applicability of requirements extraction in industrial practice.,The results of this paper indicate that using augmented data for training from a different domain than test data leads to decreased performance.,,,,,,,,,,,,,,
32,Ajagbe M.; Zhao L.,Retraining a BERT Model for Transfer Learning in Requirements Engineering: A Preliminary Study,"In recent years, advanced deep learning language models such as BERT, ELMO, ULMFiT and GPT have demonstrated strong performance on many general natural
  language processing (NLP) tasks. BERT, in particular, has also achieved promising results on some domain-specific tasks, including the requirements classification task. However, in spite of its great potential, BERT under-performs on domain specific tasks. In this paper, we present BERT4RE, a BERT-based model retrained on requirements texts, aiming to support a wide range of requirements engineering (RE) tasks, including classifying requirements, detecting language issues, identifying key domain concepts, and establishing requirements traceability links. We demonstrate the transferability of BERT4RE, by fine-tuning it for the task of identifying key domain concepts. Our preliminary study shows that BERT4RE achieved better results than the BERTbase model on the demonstrated RE task. © 2022 IEEE.",2022,Proceedings of the IEEE International Conference on Requirements Engineering,https://ieeexplore.ieee.org/document/9920081,Haowei,BERT4RE,,BERTinRE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"J. O. Couder, D. Gomez and O. Ochoa",Requirements Verification Through the Analysis of Source Code by Large Language Models,"In the most recent years, Large Language Models (LLMs) have gained popularity and have been accepted and used in different domains due to their ability to 
 understand and generate written language. LLMs allow us to analyze large amounts of data in a few moments, yet they are also extremely simple to use, making them a very powerful assistive tool that can aid in a wide range of tasks; from planning a family trip, to aid during the development process of a huge system. For software developers, LLMs have been mostly used for code generation, explanation, or optimization. Software verification is a crucial part of software development as it is the process of ensuring that a system meets specific requirements. Requirements specifications play a pivotal role in software verification as they define what a system should do. In this paper we propose the use of LLMs for code verification through the analysis of requirements specifications. We prove that LLMs, such as GPT-3.5, can verify a list of requirements through a given code and evaluate why the requirements have or have not been met.",2024,"SoutheastCon 2024, Atlanta, GA, USA, 2024, pp. 75-80",https://ieeexplore.ieee.org/document/10500073,Haowei,LLMinRE,,LLMinRE,YES,,Journal,"Reliability（Faultlessness， Accuracy）
Functional Suitability（Functional Completeness， Functional Correctness）",Verification,No,GPT-3.5,,No,YES  few-shot,,This model simplifies the user story creation process and integrates it into the Agile Requirement Engineering workflow,"The responses generated by large language models can vary significantly, leading to inconsistencies in the user stories.",,,,,,,,,,,,,,
34,"J. U. Oswal, H. T. Kanakia and D. Suktel",Transforming Software Requirements into User Stories with GPT-3.5 -: An AI-Powered Approach,"In today's dynamic software development landscape, Agile methodologies have established themselves as essential for organizations striving to swiftly adapt to 
 evolving customer needs and market demands. A cornerstone of the Agile framework is the concept of User Stories, a concise format for expressing software requirements from an end-user perspective. The manual generation of User Stories from unstructured requirement texts proves to be a labor-intensive endeavor, riddled with challenges related to maintaining consistency and adhering to specific organizational practices. This research underscores the profound importance of Agile Methodology in contemporary software development and underscores the critical role that User Stories play within this framework. To address the inherent inefficiencies associated with manual User Story creation, this paper introduces a novel and innovative AI-powered approach that uses the advanced capabilities of the GPT-3.5 language model. This approach facilitates a seamless and efficient transformation of software requirement text into standardized User Stories by studying various prompting techniques. In this research paper the practical implementation of our approach have been illustrated, we have developed an application harnessing the natural language processing capabilities of GPT-3.5 where in the user can enter or upload the requirement text and it will be transformed into user stories.",2024,2024 2nd International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),https://ieeexplore.ieee.org/document/10467750,Haowei,GPTinRE,,GPTinRE,YES,,Conference,"Functional Suitability（Functional Completeness，Functional Appropriateness)
Maintainability (Modifiability)",Elicitation,No,GPT-3.5,,No,Yes  few shot and zero shot,,"The model reducing the time and effort required to generate user stories, minimizing the risk of human errors and inconsistencies in the user stories.",,,,,,,,,,,,,,,
35,"J. Peer, Y. Mordecai and Y. Reich",NLP4ReF: Requirements Classification and Forecasting: From Model-Based Design to Large Language Models,"We introduce Natural Language Processing for Requirement Forecasting (NLP4ReF), a model-based machine learning and natural language processing solution for enhancing the Requirements Engineering (RE) process. RE continues to face significant challenges and demands innovative approaches for process efficiency. Traditional RE methods relying on natural language struggle with incomplete, hidden, 
 forgotten, and evolving requirements during and after the critical design review, risking project failures and setbacks. NLP4ReF tackles several key challenges: a) distinguishing between functional and non-functional requirements, b) classification of requirements by their respective system classes, and c) generation of unanticipated requirements to enhance project success. NLP4ReF employs a common natural language toolkit (NLTK) package and the recently-trending Chat-GPT. We tested NLP4ReF on PROMISE_exp, a pre-existing dataset with 1000 software requirements, and PROMISE_IoT, an enhanced dataset with 2000 software and IoT requirements. We validated NLP4ReF on a genuine IoT project. NLP4ReF swiftly generated dozens of new requirements, verified by a team of systems engineers, of which over 70% were crucial for project success. We found that GPT is superior in authentic requirement generation, while NLTK excels at requirement classification. NLP4ReF offers significant time saving, effort reduction, and improved future-proofing. Our model-based design approach provides a foundation for enhanced RE practices and future research in this domain.",2024,2024 IEEE Aerospace Conference,https://ieeexplore.ieee.org/document/10521022,Haowei,NLP+GPT inRE,,GPTinRE,YES,,Conference,"Functional Suitability（functional completeness ，Functional Correctness）
Performance Efficiency（Time Behaviour， Resource Utilization）",Elicitation and Classification,No,GPT-3.5 ,"PROMISE_exp dataset：1000 requirements
PROMISE_IoT dataset：2000 requirements",No,Yes  few shot and zero shot,"Precision, recall, F1-score, authenticity, BLEU",The model significantly reduced the time required for generating and classifying requirements.,"The performance of the model in requirements classification was 
affected by noise originating from the extensive training data of the OpenAI GPT",,,,,,,,,,,,,,
36,"J. S. Yeow, M. E. Rana and N. A. Abdul Majid",An Automated Model of Software Requirement Engineering Using GPT-3.5,"While the potential of AI in software development is undeniable, integrating advanced models like GPT-3.5 into its core processes like requirements engineering
  remains largely unexplored. This research investigates the effectiveness of GPT-3.5 in automating key tasks within software requirements engineering. The primary objective is to comprehensively explore the capabilities, limitations, and potential applications of GPT-3.5 in software requirements engineering. Subsequently, the research undergoes thorough analysis and evaluation to gather insights into the strengths and limitations of GPT-3.5 in the requirement-gathering process. The research concludes by identifying the limitations and putting forth recommendations for future research endeavours aimed at integrating GPT-3.5 into software requirement engineering processes. While GPT-3.5 demonstrates proficiency in aspects like creative prototyping and question generation, limitations in areas like domain understanding and context awareness become evident. By outlining these limitations, the authors offer concrete recommendations for future research focusing on the seamless integration of GPT-3.5 and similar models into the broader framework of software requirements engineering.",2024,2024 ASU International Conference in Emerging Technologies for Sustainability and Intelligent Systems (ICETSIS),https://ieeexplore.ieee.org/document/10459458,Haowei,GPTinRE(Survey),,GPTinRE (Survey),NO,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Madhava Krishna, Bhagesh Gaur, Arsh Verma, Pankaj Jalote",Using LLMs in Software Requirements Specifications: An Empirical Evaluation,"The creation of a Software Requirements Specification (SRS) document is important for any software development project. Given the recent prowess of Large Language Models (LLMs) in answering natural language queries and generating sophisticated textual outputs, our study explores their capability to produce accurate, coherent, and structured drafts of these documents to accelerate the software development lifecycle. We assess the performance of GPT-4 and CodeLlama in drafting an SRS for a university club management system and compare it against human benchmarks using eight distinct criteria. Our
 results suggest that LLMs can match the output quality of an entry-level software engineer to generate an SRS, delivering complete and consistent drafts. We also evaluate the capabilities of LLMs to identify and rectify problems in a given requirements document. Our experiments indicate that GPT-4 is capable of
 identifying issues and giving constructive feedback for rectifying them, while CodeLlama’s results for validation were not as encouraging. We repeated the generation exercise for four distinct use cases to study the time saved by employing LLMs for SRS generation. The experiment demonstrates that LLMs may
 facilitate a significant reduction in development time for entry- level software engineers. Hence, we conclude that the LLMs canbe gainfully used by software engineers to increase productivity by saving time and effort in generating, validating and rectifying software requirements.",2024,,https://arxiv.org/abs/2404.17842,Haowei,LLMinRE,,GPTinRE,YES,,Arxiv,"Functional Suitability（functional completeness ，Functional Correctness）
Performance Efficiency（Time Behaviour， Resource Utilization）","Specification, Validation",N o,GPT-4 and CodeLlama, Internal case studies,No,Yes few shot,5-point Likert scale,The model has good performance by the LLMs for generating SRS documents (RQ1). The generations are consistent and usually complete.,The stochasticity of LLMs outputs complicates the generation process and in determining which combination of the prompt and context works successfully.,,,,,,,,,,,,,,
38,Ali Nouri，Beatriz Cabrero-Daniel，Fredrik T ̈orner，H ̊akan Sivencrona， Christian Berger,Engineering Safety Requirements for Autonomous Driving with Large Language Models,"Changes and updates in the requirement artifacts, which can be frequent in the automotive domain, are a challenge for SafetyOps. Large Language Models (LLMs), 
 with their impressive natural language understanding and generating capabilities, can play a key role in automatically refining and decomposing requirements after each update. In this study, we propose a prototype of a pipeline of prompts and LLMs that receives an item definition and outputs solutions in the form of safety requirements. This pipeline also performs a review of the requirement dataset and identifies redundant or contradictory requirements. We first identified the necessary characteristics for performing HARA and then defined tests to assess an LLM’s capability in meeting these criteria. We used design science with multiple iterations and let experts from different companies evaluate each cycle quantitatively and qualitatively. Finally, the prototype was implemented at a case company and the responsible team evaluated its efficiency.",2024,32nd IEEE International Requirements Engineering 2024 conference,https://arxiv.org/abs/2403.16289,Haowei,LLMinRE,,GPTinRE,YES,,Conference,"Functional Suitability（Functional Completeness）
Safety","Elicitation, Specification, Analysis & Validation",No,GPT-4,Source: Company-specific scenarios and malfunctions,No,Yes few shot,readability and Evaluation criteria with car safety correlation,"It demonstrates the potential of LLMs for the specifying and specifying safety requirements for AD functions in a real world, industrial context,",Have risk of data leakage into the AI’s training data,,,,,,,,,,,,,,
39,"Dongming Jin, Zhi Jin, Xiaohong Chen, Chunhui Wang",MARE: Multi-Agents Collaboration Framework for Requirements Engineering,"Requirements Engineering (RE) is a critical phase in the software development process that generates requirements specifications from stakeholders’ needs. Recently, deep learning techniques have been successful in several RE tasks. However, obtaining high-quality requirements specifications requires collaboration across multiple tasks and roles. In this paper, we propose an innovative framework called MARE, which leverages collaboration among large language models (LLMs) throughout the entire RE process. MARE divides the RE process into four tasks: elicitation, modeling, verification, and specification. Each task is conducted by engaging one or two specific agents and each agent can conduct several actions. MARE has five agents and nine actions. To facilitate collaboration between agents, MARE has designed a workspace for agents to upload their generated intermediate requirements artifacts and obtain the information they need. We conduct experiments on five public cases, one dataset, and four new cases created by this work. We compared MARE with three baselines using three widely used metrics for the generated requirements models. Experimental results show that MARE can generate more correct requirements models and outperform the state-of-the-art approaches by 15.4%. For the generated requirements specifications, we conduct a human evaluation in three aspects and provide insights about the quality.",2024,,https://arxiv.org/abs/2405.03256,Haowei,LLMinRE,,LLMinRE,YES,,Arxiv,"Maintainability（Modularity， Analyzability）
Reliability（Faultlessness， Consistency）","Elicitation, Modeling, Verification, Specification","Use Case Diagrams, Problem Diagrams, Goal Models",GPT-3.5-turbo,"5 public evaluation cases for generating use case diagrams, 1 public dataset for generating goal models, and 4 new evaluation cases for generating problem diagrams",No,Yes few shot,"Precision, recall, F1-score","given a very rough idea of requirements, MARE autonomously and iteratively performs the basic tasks of RE.",Handling complex and domain-specific requirements may pose challenges in maintaining accuracy and completeness.,,,,,,,,,,,,,,
40,"Robert Feldt, Riccardo Coppola",Semantic API Alignment: Linking High-level User Goals to APIs,"Large Language Models (LLMs) are becoming key in automating and assisting various software development tasks, including text-based tasks in requirements engineering but also in coding. Typically, these models are used to automate small portions of existing tasks, but we present a broader vision to span multiple steps from requirements engineering to implementation using existing libraries. This approach, which we call Semantic API Alignment (SEAL), aims to bridge the gap between a user’s high-level goals and the specific functions of one or more APIs.
 In this position paper, we propose a system architecture where a set of LLM-powered “agents” match such high-level objectives with appropriate API calls. This system could facilitate automated programming by finding matching links or, alternatively, explaining mismatches to guide manual intervention or further development.
 As an initial pilot, our paper demonstrates this concept by applying LLMs to Goal-Oriented Requirements Engineering (GORE), via sub-goal analysis, for aligning with REST API specifications, specifically through a case study involving a GitHub statistics API. We discuss the potential of our approach to enhance complex tasks in software development and requirements engineering and outline future directions for research.",2024,"11TH INTERNATIONAL WORKSHOP ON ARTIFICIAL INTELLIGENCE AND REQUIREMENTS ENGINEERING - AIRE, 2024",https://arxiv.org/abs/2405.04236,Haowei,LLMinRE,,LLMinRE,YES,,Conference,"Functional Suitability（functional completeness ，Functional Correctness）
Compatibility（Interoperability）",Analysis & Validation,No,GPT-4,From EMB database,No,Yes few shot,The success rate of alignment between user goals and API endpoints,improve the efficiency and accuracy of the requirements analysis and implementation process in semantic API alignment,"The initially generated API alignments may contain errors, requiring human intervention for correction.",,,,,,,,,,,,,,
